lang,subject,color,admiration,amusement,anger,compassion,contempt,contentment,disappointment,disgust,fear,guilt,hate,interest,joy,love,pleasure,pride,regret,relief,sadness,shame
cn,550b7af71f955,black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
cn,550b7af71f955,blue,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,550b7af71f955,brown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,550b7af71f955,green,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,550b7af71f955,grey,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,550b7af71f955,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
cn,550b7af71f955,pink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
cn,550b7af71f955,purple,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,550b7af71f955,red,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
cn,550b7af71f955,turquoise,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cn,550b7af71f955,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cn,550b7af71f955,yellow,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5515920e148b3,black,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0
cn,5515920e148b3,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
cn,5515920e148b3,brown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5515920e148b3,green,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0
cn,5515920e148b3,grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5515920e148b3,orange,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,0,0
cn,5515920e148b3,pink,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
cn,5515920e148b3,purple,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
cn,5515920e148b3,red,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5515920e148b3,turquoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cn,5515920e148b3,white,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
cn,5515920e148b3,yellow,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0
cn,5543737e5c869,black,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0
cn,5543737e5c869,blue,0,0,0,3,0,0,0,0,0,0,0,3,1,1,1,0,0,4,0,0
cn,5543737e5c869,brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn,5543737e5c869,green,0,3,0,0,0,4,0,0,0,0,0,3,3,0,4,3,0,0,0,0
cn,5543737e5c869,grey,0,0,0,0,0,0,5,3,4,4,0,0,0,0,0,0,4,0,4,0
cn,5543737e5c869,orange,0,4,0,0,0,0,0,0,0,0,0,2,4,0,3,3,0,0,0,0
cn,5543737e5c869,pink,0,4,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0
cn,5543737e5c869,purple,2,0,2,0,0,0,0,0,1,0,0,2,1,0,0,3,0,0,0,0
